timestamp,market,side,qty,ask_price,vwap_price,fill_price,cost,fee_pct,order_type,ask_age_ms,levels_walked,is_snipe,yes_qty,no_qty,pair_cost,skew,time_remaining,mode
2026-03-02 02:02:29,BTC Up/Down 5m — 02:00-02:05 UTC,NO,24.0,0.4100,0.4100,0.4162,9.9888,1.51%,TAKER,232,1,NO,0.0,24.0,0.0000,1.000,151,PAPER
2026-03-02 02:04:30,BTC Up/Down 5m — 02:00-02:05 UTC,YES,33.0,0.3000,0.3011,0.3050,10.0657,1.31%,TAKER,455,2,YES,33.0,37.0,0.8333,0.057,30,PAPER
2026-03-02 02:04:32,BTC Up/Down 5m — 02:00-02:05 UTC,YES,41.0,0.2400,0.2400,0.2427,9.9522,1.14%,TAKER,504,1,YES,74.0,37.0,0.7988,0.333,28,PAPER
2026-03-02 02:04:34,BTC Up/Down 5m — 02:00-02:05 UTC,NO,12.0,0.7800,0.7800,0.7884,9.4604,1.07%,TAKER,568,1,NO,74.0,49.0,0.8625,0.203,26,PAPER
2026-03-02 02:04:36,BTC Up/Down 5m — 02:00-02:05 UTC,NO,12.0,0.8200,0.8200,0.8276,9.9308,0.92%,TAKER,203,1,NO,74.0,61.0,0.9088,0.096,24,PAPER
2026-03-02 02:04:38,BTC Up/Down 5m — 02:00-02:05 UTC,NO,11.0,0.8400,0.8477,0.8545,9.3996,0.84%,TAKER,716,2,NO,74.0,72.0,0.9419,0.014,22,PAPER
2026-03-02 02:04:40,BTC Up/Down 5m — 02:00-02:05 UTC,NO,11.0,0.8700,0.8700,0.8761,9.6376,0.71%,TAKER,205,1,NO,74.0,83.0,0.9690,0.057,20,PAPER
2026-03-02 02:04:42,BTC Up/Down 5m — 02:00-02:05 UTC,NO,11.0,0.8800,0.8800,0.8858,9.7439,0.66%,TAKER,964,1,NO,150.0,94.0,0.9220,0.230,18,PAPER
2026-03-02 02:04:44,BTC Up/Down 5m — 02:00-02:05 UTC,NO,12.0,0.7700,0.7700,0.7785,9.3423,1.11%,TAKER,201,1,NO,150.0,106.0,0.9286,0.172,16,PAPER
2026-03-02 02:04:46,BTC Up/Down 5m — 02:00-02:05 UTC,NO,13.0,0.7300,0.7300,0.7390,9.6069,1.23%,TAKER,1012,1,NO,150.0,119.0,0.9299,0.115,14,PAPER
2026-03-02 14:57:02,BTC Up/Down 5m — 14:55-15:00 UTC,YES,27.0,0.3700,0.3700,0.3754,10.1355,1.46%,TAKER,203,1,NO,27.0,0.0,0.0000,1.000,177,PAPER
2026-03-02 14:58:04,BTC Up/Down 5m — 14:55-15:00 UTC,NO,29.0,0.3400,0.3478,0.3527,10.2283,1.40%,TAKER,229,2,NO,27.0,29.0,0.7281,0.036,115,PAPER
2026-03-02 14:58:06,BTC Up/Down 5m — 14:55-15:00 UTC,NO,25.0,0.3900,0.3990,0.4050,10.1252,1.49%,TAKER,211,2,NO,27.0,54.0,0.7523,0.333,113,PAPER
2026-03-02 14:59:30,BTC Up/Down 5m — 14:55-15:00 UTC,YES,11.0,0.9000,0.9000,0.9051,9.9557,0.56%,TAKER,258,1,NO,38.0,54.0,0.9056,0.174,30,PAPER
2026-03-02 14:59:32,BTC Up/Down 5m — 14:55-15:00 UTC,YES,11.0,0.9000,0.9000,0.9051,9.9557,0.56%,TAKER,201,1,NO,49.0,54.0,0.9901,0.049,28,PAPER
2026-03-02 14:59:34,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9200,0.9200,0.9242,9.2423,0.46%,TAKER,283,1,NO,59.0,54.0,1.0428,0.044,26,PAPER
2026-03-02 14:59:36,BTC Up/Down 5m — 14:55-15:00 UTC,NO,83.0,0.1200,0.1216,0.1224,10.1621,0.66%,TAKER,203,2,YES,59.0,137.0,0.8887,0.398,23,PAPER
2026-03-02 14:59:38,BTC Up/Down 5m — 14:55-15:00 UTC,YES,10.0,0.9400,0.9400,0.9433,9.4331,0.35%,TAKER,542,1,NO,69.0,137.0,0.9289,0.330,21,PAPER
