timestamp,market,yes_qty,yes_avg_cost,no_qty,no_avg_cost,completed_pairs,unmatched_qty,unmatched_side,avg_pair_cost,total_capital,winner,pair_profit,gamble_result,net_pnl,num_buys,cumulative_pnl,fills_attempted,fills_rejected,rejection_rate,dead_zone_blocks,cap_exhausted_at_s,max_unhedged_usd,avg_hedge_time_s,sniper_fills,value_fills,panic_fills,avg_slippage_cents,mode
2026-03-03 00:00:05,BTC Up/Down 5m — 23:55-00:00 UTC,0,0.0000,10,0.3907,0,10,NO,0.0000,3.91,YES,+0.0000,-3.9070,-3.9070,2,-3.9070,183,181,98.9%,17203,N/A,3.91,N/A,0,0,2,+0.00,LIVE
2026-03-03 00:05:00,BTC Up/Down 5m — 00:00-00:05 UTC,14,0.3783,26,0.4150,14,12,NO,0.7933,16.09,YES,+2.8937,-4.9801,-2.0864,9,-5.9933,201,192,95.5%,53366,N/A,4.98,115.6,2,7,0,+0.00,LIVE
2026-03-03 00:09:58,BTC Up/Down 5m — 00:05-00:10 UTC,23,0.5728,20,0.4345,20,3,YES,1.0074,21.87,YES,-0.1477,+1.2815,+1.1337,13,-4.8596,325,311,95.7%,39891,277,5.39,135.8,0,8,5,+0.00,LIVE
2026-03-03 02:20:05,BTC Up/Down 5m — 02:15-02:20 UTC,30,0.3577,23,0.5700,23,7,YES,0.9277,23.84,NO,+1.6625,-2.5038,-0.8413,13,-0.8413,473,460,97.3%,60015,261,5.38,122.2,5,5,3,+0.00,PAPER
2026-03-03 02:25:00,BTC Up/Down 5m — 02:20-02:25 UTC,10,0.3550,4,0.9996,4,6,YES,1.3546,7.55,NO,-1.4184,-2.1299,-3.5482,4,-4.3896,241,237,98.3%,42903,N/A,3.55,270.6,2,0,2,+0.00,PAPER
2026-03-03 02:30:07,BTC Up/Down 5m — 02:25-02:30 UTC,12,0.8810,12,0.4264,12,0,NONE,1.3074,15.69,YES,-3.6883,+0.0000,-3.6883,9,-8.0779,133,124,93.2%,72976,N/A,5.12,235.2,0,3,6,+0.00,PAPER
2026-03-03 02:35:00,BTC Up/Down 5m — 02:30-02:35 UTC,8,0.6759,8,0.4213,8,0,NONE,1.0972,8.78,YES,-0.7777,+0.0000,-0.7777,5,-8.8556,217,212,97.7%,75461,N/A,1.79,124.0,0,3,2,+0.00,PAPER
2026-03-03 02:40:00,BTC Up/Down 5m — 02:35-02:40 UTC,14,0.3965,8,0.9883,8,6,YES,1.3848,13.46,NO,-3.0782,-2.3791,-5.4573,7,-14.3129,91,84,92.3%,59841,N/A,5.55,266.1,1,2,4,+0.00,PAPER
2026-03-03 02:45:00,BTC Up/Down 5m — 02:40-02:45 UTC,8,0.6684,8,0.4417,8,0,NONE,1.1101,8.88,YES,-0.8808,+0.0000,-0.8808,5,-15.1937,139,134,96.4%,77288,N/A,1.77,133.8,0,3,2,+0.00,PAPER
2026-03-03 02:50:00,BTC Up/Down 5m — 02:45-02:50 UTC,4,0.4366,8,0.4315,4,4,NO,0.8681,5.20,YES,+0.5277,-1.7259,-1.1982,3,-16.3920,98,95,96.9%,51777,N/A,1.75,25.1,0,3,0,+0.00,PAPER
2026-03-03 03:04:54,BTC Up/Down 5m — 02:50-02:55 UTC,13,0.4209,2,0.7884,2,11,YES,1.2093,7.05,NO,-0.4185,-4.6299,-5.0484,4,-21.4404,29,25,86.2%,28163,N/A,5.47,875.4,0,3,1,+0.00,PAPER
2026-03-03 03:22:51,BTC Up/Down 5m — 03:05-03:10 UTC,3,0.5180,12,0.4434,3,9,NO,0.9613,6.87,NO,+0.1160,+5.0096,+5.1255,4,-16.3149,216,212,98.1%,32679,N/A,5.32,1038.0,0,3,1,+0.00,PAPER
2026-03-03 03:25:06,BTC Up/Down 5m — 03:20-03:25 UTC,27,0.3389,27,0.5480,27,0,NONE,0.8869,23.95,NO,+3.0550,+0.0000,+3.0550,14,-13.2599,675,661,97.9%,23077,114,4.00,82.8,2,0,12,+0.00,PAPER
2026-03-03 03:30:00,BTC Up/Down 5m — 03:25-03:30 UTC,12,0.9796,12,0.4298,12,0,NONE,1.4094,16.91,YES,-4.9130,+0.0000,-4.9130,9,-18.1729,154,145,94.2%,72924,N/A,5.16,190.0,0,3,6,+0.00,PAPER
2026-03-03 03:35:05,BTC Up/Down 5m — 03:30-03:35 UTC,20,0.6504,20,0.2861,20,0,NONE,0.9364,18.73,YES,+1.2713,+0.0000,+1.2713,10,-16.9016,116,106,91.4%,60307,N/A,5.16,129.1,3,3,4,+0.00,PAPER
2026-03-03 03:40:08,BTC Up/Down 5m — 03:35-03:40 UTC,33,0.3438,32,0.4044,32,1,YES,0.7482,24.29,NO,+8.0567,-0.3438,+7.7129,13,-9.1887,293,280,95.6%,62478,224,5.61,76.4,4,7,2,+0.00,PAPER
2026-03-03 03:45:00,BTC Up/Down 5m — 03:40-03:45 UTC,12,0.3073,12,0.8680,12,0,NONE,1.1754,14.10,NO,-2.1046,+0.0000,-2.1046,8,-11.2934,240,232,96.7%,62786,N/A,3.69,262.8,2,0,6,+0.00,PAPER
2026-03-03 03:50:00,BTC Up/Down 5m — 03:45-03:50 UTC,81,0.0896,18,0.7310,18,63,YES,0.8206,20.42,NO,+3.2284,-5.6445,-2.4161,11,-13.7095,207,196,94.7%,62474,274,5.64,143.6,3,2,5,+0.00,PAPER
2026-03-03 03:55:00,BTC Up/Down 5m — 03:50-03:55 UTC,29,0.3317,30,0.4685,29,1,NO,0.8003,23.68,NO,+5.7921,+0.5315,+6.3235,13,-7.3859,600,587,97.8%,61183,268,3.69,117.9,3,6,4,+0.00,PAPER
2026-03-03 04:00:00,BTC Up/Down 5m — 03:55-04:00 UTC,18,0.9833,79,0.0909,18,61,NO,1.0742,24.88,YES,-1.3352,-5.5440,-6.8792,13,-14.2651,202,189,93.6%,70402,278,5.91,224.9,0,3,9,+0.00,PAPER
2026-03-03 04:05:00,BTC Up/Down 5m — 04:00-04:05 UTC,10,0.9812,12,0.4400,10,2,NO,1.4212,15.09,YES,-4.2117,-0.8800,-5.0917,8,-19.3568,253,245,96.8%,55067,N/A,5.28,271.7,0,3,5,+0.00,PAPER
2026-03-03 04:10:00,BTC Up/Down 5m — 04:05-04:10 UTC,33,0.3896,22,0.4944,22,11,YES,0.8840,23.73,NO,+2.5529,-4.2855,-1.7326,13,-21.0894,600,587,97.8%,30761,144,5.32,81.1,3,9,1,+0.00,PAPER
2026-03-03 04:15:00,BTC Up/Down 5m — 04:10-04:15 UTC,14,0.9839,14,0.3929,14,0,NONE,1.3768,19.27,YES,-5.2747,+0.0000,-5.2747,10,-26.3641,174,164,94.3%,51995,N/A,5.50,270.3,1,2,7,+0.00,PAPER
2026-03-03 04:20:07,BTC Up/Down 5m — 04:15-04:20 UTC,34,0.3522,34,0.3724,34,0,NONE,0.7246,24.64,NO,+9.3642,+0.0000,+9.3642,14,-16.9999,573,559,97.6%,58143,276,5.20,186.4,3,3,8,+0.02,PAPER
2026-03-03 04:25:00,BTC Up/Down 5m — 04:20-04:25 UTC,27,0.4007,27,0.4631,27,0,NONE,0.8638,23.32,NO,+3.6769,+0.0000,+3.6769,13,-13.3230,514,501,97.5%,40571,186,3.96,118.0,2,10,1,+0.00,PAPER
2026-03-03 04:30:00,BTC Up/Down 5m — 04:25-04:30 UTC,20,0.3550,20,0.6553,20,0,NONE,1.0103,20.21,NO,-0.2053,+0.0000,-0.2053,11,-13.5283,294,283,96.3%,54858,273,5.36,128.8,4,3,4,+0.04,PAPER
2026-03-03 04:35:00,BTC Up/Down 5m — 04:30-04:35 UTC,14,0.9064,14,0.4075,14,0,NONE,1.3139,18.39,YES,-4.3944,+0.0000,-4.3944,10,-17.9228,55,45,81.8%,58802,N/A,5.70,267.1,0,3,7,+0.00,PAPER
2026-03-03 04:40:00,BTC Up/Down 5m — 04:35-04:40 UTC,25,0.3729,14,0.3885,14,11,YES,0.7614,14.76,NO,+3.3400,-4.1023,-0.7623,8,-18.6850,313,305,97.4%,44580,N/A,5.44,181.4,1,7,0,+0.00,PAPER
