timestamp,market,yes_qty,yes_avg_cost,no_qty,no_avg_cost,completed_pairs,unmatched_qty,unmatched_side,avg_pair_cost,total_capital,winner,pair_profit,gamble_result,net_pnl,num_buys,cumulative_pnl,mode
2026-03-02 02:05:51,BTC Up/Down 5m — 02:00-02:05 UTC,150,0.2016,119,0.7283,119,31,YES,0.9299,116.90,YES,+8.3450,+24.7512,+33.0962,12,+33.0962,PAPER
2026-03-02 15:00:46,BTC Up/Down 5m — 14:55-15:00 UTC,109,0.8019,137,0.2227,109,28,NO,1.0246,117.92,NO,-2.6816,+21.7632,+19.0816,12,+19.0816,PAPER
2026-03-02 15:10:12,BTC Up/Down 5m — 15:05-15:10 UTC,0,0.0000,23,0.4366,0,23,NO,0.0000,10.04,YES,+0.0000,-10.0415,-10.0415,1,+9.0401,PAPER
2026-03-02 15:20:52,BTC Up/Down 5m — 15:15-15:20 UTC,278,0.1436,143,0.5474,143,135,YES,0.6910,118.20,NO,+44.1902,-19.3876,+24.8026,12,+33.8427,PAPER
2026-03-02 15:30:46,BTC Up/Down 5m — 15:25-15:30 UTC,264,0.1891,124,0.5536,124,140,YES,0.7427,118.57,NO,+31.9058,-26.4750,+5.4307,12,+39.2735,PAPER
