timestamp,market,mode,open_positions,total_trades,wins,losses,win_rate,total_pnl,daily_pnl,signals_received,signals_filtered,exposure_usd
2026-03-03 19:18:34,Will Atletico Madrid win the 2025–26 La Liga?,paper,2,3,0,3,0.00%,-6.5199,-6.5199,7,0,23.60
2026-03-03 19:38:30,Will Atletico Madrid win the 2025–26 La Liga?,paper,1,7,0,7,0.00%,-15.2131,-15.2131,11,0,11.80
